,Car_name,Year,Price,Location,Status,Ratings,Mileage
2839,Mercedes-Benz C 300,2009,"₦ 4,015,000","Abule Egba, Lagos",Foreign Used,4.8,"93,600 km"
2840,Toyota Camry,2018,"₦ 16,015,000","Kubuwa Expressway, Abuja",Foreign Used,4.8,"62,030 km"
2841,Toyota Matrix,2006,"₦ 2,415,000","Abule Egba, Lagos",Foreign Used,4.7,"97,482 km"
2842,Toyota 4-Runner,2010,"₦ 10,715,000","Agidingbi, Lagos",Foreign Used,4.8,"88,962 km"
2843,Toyota Avalon,2007,"₦ 2,715,000","Abule Egba, Lagos",Foreign Used,4.8,"189,385 km"
2844,Toyota Camry,2014,"₦ 3,615,000","Admiralty, Lekki, Lagos",Locally Used,4.5,"139,827 km"
2845,Toyota Camry,2018,"₦ 16,015,000","Kubuwa Expressway, Abuja",Foreign Used,4.8,"9,091 km"
2846,Lexus GX 460,2017,"₦ 27,015,000","Garki 2, Abuja",Foreign Used,4.9,"53,424 km"
2847,Toyota Camry,2010,"₦ 3,815,000","Kubuwa Expressway, Abuja",Foreign Used,4.9,"54,128 km"
2848,Mercedes-Benz C 300,2008,"₦ 4,515,000","Kubuwa Expressway, Abuja",Foreign Used,4.8,"68,283 km"
2849,Mercedes-Benz ML 350,2011,"₦ 7,715,000","Kubuwa Expressway, Abuja",Foreign Used,4.9,"73,924 km"
2850,Toyota Hilux,2012,"₦ 8,015,000","Ilupeju, Lagos",Locally Used,4.7,"38,210 km"
2851,Toyota Hilux,2012,"₦ 8,015,000","Ilupeju, Lagos",Locally Used,4.7,"36,245 km"
2852,Toyota Highlander,2015,"₦ 14,015,000","Berger Mkt, Lagos",Foreign Used,5.0,"127,637 km"
2853,Toyota Highlander,2016,"₦ 16,715,000","Surulere, Lagos",Foreign Used,4.9,"36,890 km"
2854,Toyota RAV 4,2015,"₦ 8,770,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.9,"89,841 km"
2855,Toyota Highlander,2012,"₦ 8,015,000","Apapa, Lagos",Foreign Used,5.0,"138,258 km"
2856,Ford Edge,2011,"₦ 4,415,000","Ikeja, Lagos",Foreign Used,4.8,"112,310 km"
2857,Lexus RX 350,2016,"₦ 18,015,000","Abule Egba, Lagos",Foreign Used,4.9,"148,457 km"
2858,Mercedes-Benz C 300,2018,"₦ 18,515,000","Kubuwa Expressway, Abuja",Foreign Used,4.8,"27,142 km"
2859,Dodge Charger,2008,"₦ 3,915,000","Maitama, Abuja",Foreign Used,4.7,"156,636 km"
2860,Volkswagen CC,2011,"₦ 4,740,000","Ogba, Lagos",Foreign Used,4.8,"130,578 km"
2861,Lexus IS 250,2006,"₦ 4,215,000","Ikate, Lekki, Lagos",Foreign Used,4.9,"165,826 km"
2862,Kia Soul,2016,"₦ 6,015,000","Ikeja, Lagos",Foreign Used,4.8,"14,580 km"
2863,Toyota Highlander,2013,"₦ 8,215,000","Berger Mkt, Lagos",Foreign Used,4.9,"139,943 km"
2864,Toyota Sienna,2005,"₦ 2,865,000","Surulere, Lagos",Foreign Used,4.7,"98,145 km"
2865,Mercedes-Benz S 550,2007,"₦ 2,515,000","Admiralty, Lekki, Lagos",Locally Used,4.4,"120,000 km"
2866,Toyota Camry,2018,"₦ 14,815,000","Anthony, Lagos",Foreign Used,4.9,"17,206 km"
2867,Toyota Camry,2013,"₦ 5,115,000","Anthony, Lagos",Foreign Used,4.8,"63,751 km"
2868,Ford Edge,2011,"₦ 5,215,000","Anthony, Lagos",Foreign Used,4.6,"124,121 km"
2869,Lexus ES 350,2013,"₦ 8,255,000","Ago, Lagos",Foreign Used,4.6,"47,348 km"
2870,Mercedes-Benz GLK 350,2011,"₦ 8,715,000","Ipaja, Lagos",Foreign Used,4.9,"191,626 km"
2871,Toyota RAV 4,2008,"₦ 3,615,000","Ago, Lagos",Foreign Used,4.8,"95,120 km"
2872,Toyota Sienna,2010,"₦ 4,115,000","Kubwa Express, Abuja",Foreign Used,4.6,"171,349 km"
2873,Toyota Corolla,2004,"₦ 2,415,000","Ipaja, Lagos",Foreign Used,4.8,"17,952 km"
2874,Toyota Corolla,2012,"₦ 4,015,000","Kubuwa Expressway, Abuja",Foreign Used,4.6,"54,001 km"
2875,Honda Accord,2004,"₦ 1,815,000","Ipaja, Lagos",Foreign Used,4.8,"287,058 km"
2876,Mitsubishi Eclipse,2011,"₦ 3,515,000","Kubwa Express, Abuja",Foreign Used,4.8,"93,767 km"
2877,Volkswagen Golf,1999,"₦ 1,515,000","Kubwa Express, Abuja",Foreign Used,5.0,"123,456 km"
2878,Lexus RX 300,2000,"₦ 2,715,000","Festac, Lagos",Foreign Used,5.0,"265,914 km"
2879,Toyota Prado,2007,"₦ 5,215,000","Festac, Lagos",Locally Used,4.8,"105,349 km"
2880,Lexus ES 350,2010,"₦ 5,515,000","Apapa, Lagos",Foreign Used,5.0,"104,256 km"
2881,Toyota Venza,2010,"₦ 7,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"81,504 km"
2882,Honda CR-V,2012,"₦ 6,915,000","Eliozu, Port Harcourt",Foreign Used,4.6,"103,439 km"
2883,Lexus ES 350,2010,"₦ 5,315,000","Eliozu, Port Harcourt",Foreign Used,4.7,"108,669 km"
2884,Hyundai Santa Fe,2007,"₦ 3,415,000","Eliozu, Port Harcourt",Foreign Used,4.8,"236,435 km"
2885,Lexus ES 330,2004,"₦ 3,215,000","Eliozu, Port Harcourt",Foreign Used,4.6,"107,977 km"
2886,Lexus ES 350,2013,"₦ 8,770,000","Ikate, Lekki, Lagos",Foreign Used,4.9,"40,452 km"
2887,Toyota Camry,2014,"₦ 4,715,000","Ibadan, Oyo",Foreign Used,5.0,"55,765 km"
2888,Hyundai Sonata,2010,"₦ 3,515,000","Ago, Lagos",Foreign Used,4.3,"269,250 km"
2889,Ford Edge,2010,"₦ 4,515,000","Ago, Lagos",Foreign Used,4.2,"288,494 km"
2890,Ford Edge,2011,"₦ 4,715,000","Ago, Lagos",Foreign Used,4.4,"253,698 km"
2891,Toyota Corolla,2013,"₦ 3,965,000","Festac, Lagos",Foreign Used,5.0,"115,737 km"
2892,Toyota 4-Runner,2018,"₦ 21,515,000","Ago, Lagos",Foreign Used,4.8,"107,425 km"
2893,Toyota Tacoma,2019,"₦ 25,015,000","Ago, Lagos",New,4.9,"1,314 km"
2894,Lexus LX 570,2018,"₦ 45,015,000","Ago, Lagos",Foreign Used,4.7,"4,232 km"
2895,Toyota Corolla,2014,"₦ 5,115,000","Abeokuta, Ogun",Foreign Used,4.8,"201,648 km"
2896,Toyota Highlander,2010,"₦ 7,165,000","Lagos, Lagos",Foreign Used,4.7,"109,899 km"
2897,Toyota Venza,2012,"₦ 6,915,000","Surulere, Lagos",Foreign Used,4.9,"73,585 km"
